student_number,student_name,contact_date,created_by,type,notes
412001,"Alvarez, Diego",2026-09-23 10:30:00,"GARCIA, HELEN",Teams,<p>Weekly check-in</p>
412001,"Alvarez, Diego",2026-09-16 10:30:00,"GARCIA, HELEN",Email,<p>Weekly check-in</p>
412001,"Alvarez, Diego",2026-09-09 10:30:00,"GARCIA, HELEN",Phone,<p>Weekly check-in</p>
412001,"Alvarez, Diego",2026-09-02 10:30:00,"GARCIA, HELEN",Phone,<p>Weekly check-in</p>
412001,"Alvarez, Diego",2026-08-26 10:30:00,"GARCIA, HELEN",Email,<p>Weekly check-in</p>
412002,"Baker, Priya",2026-09-23 10:30:00,"GARCIA, HELEN",Email,<p>Weekly check-in</p>
412002,"Baker, Priya",2026-09-16 10:30:00,"GARCIA, HELEN",Phone,<p>Weekly check-in</p>
412002,"Baker, Priya",2026-09-09 10:30:00,"GARCIA, HELEN",Teams,<p>Weekly check-in</p>
412002,"Baker, Priya",2026-09-02 10:30:00,"GARCIA, HELEN",Phone,<p>Weekly check-in</p>
412002,"Baker, Priya",2026-08-26 10:30:00,"GARCIA, HELEN",Teams,<p>Weekly check-in</p>
412003,"Chen, Marcus",2026-09-02 10:30:00,"GARCIA, HELEN",Phone,<p>Called; no answer</p>
412003,"Chen, Marcus",2026-08-26 10:30:00,"GARCIA, HELEN",Email,<p>Weekly check-in</p>
412003,"Chen, Marcus",2026-09-20 10:30:00,"GARCIA, HELEN",Teacher Initiated,<p>Emailed student about pacing</p>
412004,"Dawson, Kayla",2026-09-22 10:30:00,"STAHL, MARK",Zoom,<p>Weekly check-in</p>
412004,"Dawson, Kayla",2026-09-15 10:30:00,"STAHL, MARK",Zoom,<p>Weekly check-in</p>
412004,"Dawson, Kayla",2026-09-08 10:30:00,"STAHL, MARK",Zoom,<p>Weekly check-in</p>
412004,"Dawson, Kayla",2026-09-01 10:30:00,"STAHL, MARK",Zoom,<p>Weekly check-in</p>
412004,"Dawson, Kayla",2026-08-25 10:30:00,"STAHL, MARK",Zoom,<p>Weekly check-in</p>
412005,"Espinoza, Luis",2026-08-29 10:30:00,"STAHL, MARK",Email,<p>Weekly check-in</p>
412005,"Espinoza, Luis",2026-09-19 10:30:00,"STAHL, MARK",Parent,<p>Spoke with mom</p>
412007,"Gutierrez, Sofia",2026-09-23 10:30:00,"KIM, LENA",Teams,<p>Weekly check-in</p>
412007,"Gutierrez, Sofia",2026-09-16 10:30:00,"KIM, LENA",Phone,<p>Weekly check-in</p>
412007,"Gutierrez, Sofia",2026-09-09 10:30:00,"KIM, LENA",Email,<p>Weekly check-in</p>
412007,"Gutierrez, Sofia",2026-09-02 10:30:00,"KIM, LENA",Teams,<p>Weekly check-in</p>
412007,"Gutierrez, Sofia",2026-08-26 10:30:00,"KIM, LENA",Teams,<p>Weekly check-in</p>
412008,"Hale, Jordan",2026-09-12 10:30:00,"KIM, LENA",Email,<p>Weekly check-in</p>
412008,"Hale, Jordan",2026-09-05 10:30:00,"KIM, LENA",Phone,<p>Weekly check-in</p>
412008,"Hale, Jordan",2026-08-29 10:30:00,"KIM, LENA",Email,<p>Weekly check-in</p>
412009,"Ibarra, Mateo",2026-08-16 10:30:00,"KIM, LENA",Email,<p>Weekly check-in</p>
412010,"Johnson, Aaliyah",2026-09-23 10:30:00,"GARCIA, HELEN",Teams,<p>Weekly check-in</p>
412010,"Johnson, Aaliyah",2026-09-16 10:30:00,"GARCIA, HELEN",Teams,<p>Weekly check-in</p>
412010,"Johnson, Aaliyah",2026-09-09 10:30:00,"GARCIA, HELEN",Teams,<p>Weekly check-in</p>
412010,"Johnson, Aaliyah",2026-09-02 10:30:00,"GARCIA, HELEN",Teams,<p>Weekly check-in</p>
412010,"Johnson, Aaliyah",2026-08-26 10:30:00,"GARCIA, HELEN",Email,<p>Weekly check-in</p>
412011,"Kowalski, Ben",2026-09-23 10:30:00,"STAHL, MARK",Phone,<p>Weekly check-in</p>
412011,"Kowalski, Ben",2026-09-16 10:30:00,"STAHL, MARK",Teams,<p>Weekly check-in</p>
412011,"Kowalski, Ben",2026-09-09 10:30:00,"STAHL, MARK",Teams,<p>Weekly check-in</p>
412011,"Kowalski, Ben",2026-09-02 10:30:00,"STAHL, MARK",Phone,<p>Weekly check-in</p>
412011,"Kowalski, Ben",2026-08-26 10:30:00,"STAHL, MARK",Phone,<p>Weekly check-in</p>
412012,"Lopez, Isabella",2026-09-23 10:30:00,"KIM, LENA",Phone,<p>Weekly check-in</p>
412012,"Lopez, Isabella",2026-09-16 10:30:00,"KIM, LENA",Phone,<p>Weekly check-in</p>
412012,"Lopez, Isabella",2026-09-09 10:30:00,"KIM, LENA",Email,<p>Weekly check-in</p>
412012,"Lopez, Isabella",2026-09-02 10:30:00,"KIM, LENA",Phone,<p>Weekly check-in</p>
412012,"Lopez, Isabella",2026-08-26 10:30:00,"KIM, LENA",Teams,<p>Weekly check-in</p>
