Name,User ID,External ID,Student Grade Level,Course Name,Teacher,Progress,Target Progress,Actual Grade,Overall Grade,Relative Grade,Pacing,Complete,Start Date,Target Date,Last Gradebook Entry,Active Time,Enrollment Status,Assignment Status
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 Algebra 1 A,Bastin Hernandez,22.0,32.5,88.0,88.0,88.0,-10.5,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,37:11:16,Active,
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 English 10 A,Ortiz,20.5,32.1,91.0,91.0,91.0,-11.6,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,18:00:09,Active,
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 Attendance Course,Goyal,100.0,100.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/23/2026 10:15 AM,0:12:00,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Geometry A,Ortiz,12.0,31.2,76.0,76.0,76.0,-19.2,No,8/26/2026,1/22/2027,9/23/2026 10:15 AM,26:34:23,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Biology A,Nguyen,15.5,33.6,74.0,74.0,74.0,-18.1,No,8/26/2026,1/22/2027,9/23/2026 10:15 AM,39:36:20,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 World History A,Ortiz,19.0,33.0,82.0,82.0,82.0,-14.0,No,8/26/2026,1/22/2027,9/23/2026 10:15 AM,8:44:54,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Attendance Course,Goyal,40.0,40.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Algebra 2 A,Bastin Hernandez,3.0,50.4,52.0,52.0,52.0,-47.4,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,32:39:41,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Chemistry A,Nguyen,5.5,48.5,58.0,58.0,58.0,-43.0,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,3:29:57,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Attendance Course,Goyal,20.0,20.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/10/2026 10:15 AM,0:12:00,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 US History B,Ortiz,81.0,112.0,71.0,71.0,71.0,-31.0,No,8/26/2026,9/15/2026,9/22/2026 10:15 AM,35:25:25,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 Precalculus A,Bastin Hernandez,18.0,33.5,85.0,85.0,85.0,-15.5,No,8/26/2026,1/22/2027,9/22/2026 10:15 AM,25:25:06,Active,
